"BenchName","CodeletName","tar_app_cycles","tar_vivo_invocations","tar_vitro_invocations","tar_vitro_CPInv","tar_vivo_CPInv"
"ft","codelet_04wki9m9",599205918800,20,10,1239815316.1,1211313194
"sp","codelet_0612t675",1796510824060,402,10,227259437.1,133084727.935323
"bt","codelet_1q1uztgi",3199276146560,201,10,4021256456.5,4750607503.23383
"sp","codelet_2v56b796",1796510824060,401,10,57268115.8,55636082.8179551
"mg","codelet_2xepi1y9",1.04726e+11,168,10,5691.1,168821521.607143
"cg","codelet_3lkaf7j3",5141331341250,76,10,34929818124.5,65073619498.9474
"lu","codelet_5g6luxej",2773978437410,3,10,77616235.6,77254740
"cg","codelet_77bv9i9o",5141331341250,76,10,1267034326.2,2598240918.68421
"sp","codelet_7hw4mhgq",1796510824060,2,10,46208757.3,75289105
"lu","codelet_7ztudex2",2773978437410,1,10,44818097.6,83074920
"mg","codelet_9guj5g8w",1.04726e+11,2,10,145460332.4,142669550
"bt","codelet_9salavfj",3199276146560,201,10,4431221831.1,4874623437.66169
"lu","codelet_a5i9q5oc",2773978437410,25000,10,12984300.7,12899724.6488
"cg","codelet_ah8c616d",5141331341250,1,10,59453912.7,57327850
"ft","codelet_ajh8suhy",599205918800,270336,10,396701.5,1834089.34470437
"sp","codelet_alcg4uf1",1796510824060,1,10,45483971,94623500
"lu","codelet_bdcevv5m",2773978437410,25000,10,18252698.5,18293794.7676
"ft","codelet_bfvnd0aj",599205918800,1,10,6338331458.2,4090015680
"sp","codelet_ciposq9y",1796510824060,402,10,665543405,627227217.587065
"is","codelet_cwibzte7",1.07678e+11,1,10,16884353220.4,17120705940
"sp","codelet_e3rjjpkq",1796510824060,402,10,569497890.8,559976812.064677
"mg","codelet_e77x2p6t",1.04726e+11,147,10,364602208.9,53954151.7006803
"mg","codelet_eh02x069",1.04726e+11,4,10,320593312.8,265362385
"sp","codelet_el0upqbv",1796510824060,402,10,45030572.4,43218441.9154229
"lu","codelet_f5scgu90",2773978437410,1,10,331001768.7,317736330
"bt","codelet_f5wo0uxw",3199276146560,1,10,45384872.7,93574450
"cg","codelet_ffhehgar",5141331341250,1,10,153640622.1,308622190
"lu","codelet_gowmx4sy",2773978437410,25000,10,22696665.2,20446061.3304
"lu","codelet_id2f9qxy",2773978437410,251,10,948690541.6,959699449.163347
"lu","codelet_id4su9eh",2773978437410,1,10,1121867385.8,1138251390
"mg","codelet_j5k2371m",1.04726e+11,170,10,1197776254,332106835.941176
"bt","codelet_jbbvz7xk",3199276146560,202,10,580879221.9,576635087.425743
"mg","codelet_jhez9gww",1.04726e+11,2,10,497122828,420747255
"bt","codelet_jxc4wc0u",3199276146560,1,10,43890914.9,42520150
"bt","codelet_k2brr96z",3199276146560,202,10,669769405.8,660860305.792079
"sp","codelet_k2ftuhal",1796510824060,401,10,744263665.9,733112839.451372
"sp","codelet_l044uhir",1796510824060,401,10,47523251.7,45193818.1546135
"sp","codelet_lwazhy7r",1796510824060,402,10,63142172.9,59471332.7860697
"is","codelet_lwgg2vdo",1.07678e+11,11,10,7026989376.6,6955817276.36364
"sp","codelet_n3f9ckan",1796510824060,401,10,180968547.1,134595631.546135
"bt","codelet_n94ixut8",3199276146560,202,10,644233119.8,632048577.425743
"sp","codelet_n9k4kgux",1796510824060,401,10,47572324.5,44876944.4139651
"bt","codelet_npabl6hq",3199276146560,202,10,44995933.8,42608768.5148515
"sp","codelet_nrpad2bf",1796510824060,402,10,669475465.2,668088064.950249
"lu","codelet_nzbfxce7",2773978437410,251,10,642922658.5,640724909.641434
"sp","codelet_o8g6pwm1",1796510824060,401,10,194873802.5,148149714.513716
"sp","codelet_ocwkgsmf",1796510824060,1,10,43851180.5,42680030
"bt","codelet_oo8c273h",3199276146560,2,10,45082764.8,71640405
"lu","codelet_p6nf3vla",2773978437410,1,10,904460906.8,924673150
"sp","codelet_p8woixip",1796510824060,401,10,608609411.6,606546864.389027
"lu","codelet_pixsirbt",2773978437410,25000,10,24010484.5,21638206.4656
"cg","codelet_psux6bds",5141331341250,1,10,1655155972,1923508080
"is","codelet_qbx4gern",1.07678e+11,1,10,264827398.5,108530390
"bt","codelet_rbjjtmtw",3199276146560,201,10,56506519.2,54914365.5721393
"bt","codelet_salgyh4a",3199276146560,202,10,187378728.4,183960934.009901
"lu","codelet_syvfdqbb",2773978437410,1,10,1299476428.2,1312069730
"sp","codelet_tw2jfd61",1796510824060,401,10,394355059.3,398519857.057357
"sp","codelet_un3n5c0a",1796510824060,1,10,73676290.5,75536840
"is","codelet_v392t8ky",1.07678e+11,1,10,215090336.5,300362900
"lu","codelet_vdku9m9a",2773978437410,251,10,1206449502.5,1205129989.64143
"bt","codelet_vp8kou9q",3199276146560,202,10,63011525.1,58595325.6930693
"bt","codelet_y3z9unfb",3199276146560,202,10,144826779.5,140982940.841584
"lu","codelet_yl02rn5o",2773978437410,251,10,164346077.9,164412387.808765
"is","codelet_zds65i92",1.07678e+11,1,10,14346409080.6,14250466270
"bt","codelet_zdssy5el",3199276146560,201,10,3909457872.6,4576997659.40298
"sp","codelet_ztezhmhm",1796510824060,402,10,189942162.7,188288718.955224
"bt","codelet_zvxgk4ke",3199276146560,1,10,73638034.9,74778600
