"BenchName","CodeletName","tar_app_cycles","tar_vivo_invocations","tar_vitro_invocations","tar_vitro_CPInv","tar_vivo_CPInv"
"ft","codelet_04wki9m9",1.38409e+11,20,10,484675608.16,475384791
"sp","codelet_0612t675",3.08791e+11,402,10,40378937.31,30515207.0845771
"bt","codelet_1q1uztgi",6.10461e+11,201,10,872141052.93,1001924907.60199
"sp","codelet_2v56b796",3.08791e+11,401,10,27691203.15,22233066.1945137
"mg","codelet_2xepi1y9",17077200000,168,10,1031.32,27835375.4107143
"cg","codelet_3lkaf7j3",2.18077e+11,76,10,3533918657.01,3434954449.26316
"lu","codelet_5g6luxej",4.99539e+11,3,10,17458667.12,17017032
"cg","codelet_77bv9i9o",2.18077e+11,76,10,132021247.89,138964374.368421
"sp","codelet_7hw4mhgq",3.08791e+11,2,10,33560575.97,28440478
"lu","codelet_7ztudex2",4.99539e+11,1,10,16014648.72,31581824
"mg","codelet_9guj5g8w",17077200000,2,10,51625688.08,47495212.5
"bt","codelet_9salavfj",6.10461e+11,201,10,947532080.58,1013114375.60199
"lu","codelet_a5i9q5oc",4.99539e+11,25000,10,3709601.92,3746012.95616
"cg","codelet_ah8c616d",2.18077e+11,1,10,21514494.45,20403484
"ft","codelet_ajh8suhy",1.38409e+11,270336,10,37522.84,415782.481371331
"sp","codelet_alcg4uf1",3.08791e+11,1,10,19317250.51,36103232
"lu","codelet_bdcevv5m",4.99539e+11,25000,10,3626297,3540386.24
"ft","codelet_bfvnd0aj",1.38409e+11,1,10,1470423829.92,1044009460
"sp","codelet_ciposq9y",3.08791e+11,402,10,84011797.77,72514302.5174129
"is","codelet_cwibzte7",21643300000,1,10,10848372304.96,10849726692
"sp","codelet_e3rjjpkq",3.08791e+11,402,10,78482828.38,67975401.1044776
"mg","codelet_e77x2p6t",17077200000,147,10,66503596.2,10549343.4285714
"mg","codelet_eh02x069",17077200000,4,10,70609821.28,52231560.75
"sp","codelet_el0upqbv",3.08791e+11,402,10,18291491.31,14194396.4975124
"lu","codelet_f5scgu90",4.99539e+11,1,10,78261713.56,63854856
"bt","codelet_f5wo0uxw",6.10461e+11,1,10,15931213,36030400
"cg","codelet_ffhehgar",2.18077e+11,1,10,44141438.46,46366260
"lu","codelet_gowmx4sy",4.99539e+11,25000,10,3982985.2,3669551.67888
"lu","codelet_id2f9qxy",4.99539e+11,251,10,153751734.44,155556911.776892
"lu","codelet_id4su9eh",4.99539e+11,1,10,173415636.36,178743716
"mg","codelet_j5k2371m",17077200000,170,10,188619772.16,51520517.8764706
"bt","codelet_jbbvz7xk",6.10461e+11,202,10,72381445.2,67987474.9108911
"mg","codelet_jhez9gww",17077200000,2,10,91661710.52,63938536.5
"bt","codelet_jxc4wc0u",6.10461e+11,1,10,15284996.72,14858328
"bt","codelet_k2brr96z",6.10461e+11,202,10,56969110.52,50541069.3861386
"sp","codelet_k2ftuhal",3.08791e+11,401,10,201115172.64,200186904.179551
"sp","codelet_l044uhir",3.08791e+11,401,10,23082062.34,15611716.478803
"sp","codelet_lwazhy7r",3.08791e+11,402,10,30898751.24,27320634.5970149
"is","codelet_lwgg2vdo",21643300000,11,10,581815596.28,579217422.545455
"sp","codelet_n3f9ckan",3.08791e+11,401,10,36904744.17,27384984.2992519
"bt","codelet_n94ixut8",6.10461e+11,202,10,78090435.16,71603656.039604
"sp","codelet_n9k4kgux",3.08791e+11,401,10,22594839.67,15606353.9750623
"bt","codelet_npabl6hq",6.10461e+11,202,10,15169556.32,14258202.5940594
"sp","codelet_nrpad2bf",3.08791e+11,402,10,65591931.53,50888820.8258706
"lu","codelet_nzbfxce7",4.99539e+11,251,10,92491905.64,93876202.0079681
"sp","codelet_o8g6pwm1",3.08791e+11,401,10,42755622.76,32734060.6583541
"sp","codelet_ocwkgsmf",3.08791e+11,1,10,17915040.05,14808044
"bt","codelet_oo8c273h",6.10461e+11,2,10,15996016,27235480
"lu","codelet_p6nf3vla",4.99539e+11,1,10,115771293.08,123773772
"sp","codelet_p8woixip",3.08791e+11,401,10,155465624.85,147723071.9601
"lu","codelet_pixsirbt",4.99539e+11,25000,10,4038003.44,3970128.45648
"cg","codelet_psux6bds",2.18077e+11,1,10,322546593.33,446725772
"is","codelet_qbx4gern",21643300000,1,10,75506274.52,33265104
"bt","codelet_rbjjtmtw",6.10461e+11,201,10,22987091.52,22206900.9950249
"bt","codelet_salgyh4a",6.10461e+11,202,10,34121238.2,32775767.3861386
"lu","codelet_syvfdqbb",4.99539e+11,1,10,150161783.36,160533232
"sp","codelet_tw2jfd61",3.08791e+11,401,10,115281244.39,105762027.820449
"sp","codelet_un3n5c0a",3.08791e+11,1,10,32471553.5,17464404
"is","codelet_v392t8ky",21643300000,1,10,84085955.2,129882720
"lu","codelet_vdku9m9a",4.99539e+11,251,10,163874096.36,165971122.549801
"bt","codelet_vp8kou9q",6.10461e+11,202,10,25704745.76,27436460.8910891
"bt","codelet_y3z9unfb",6.10461e+11,202,10,28515541.08,27251053.5841584
"lu","codelet_yl02rn5o",4.99539e+11,251,10,40519243.8,40113441.561753
"is","codelet_zds65i92",21643300000,1,10,5630187132.12,5639689188
"bt","codelet_zdssy5el",6.10461e+11,201,10,798333921.5,926016111.243781
"sp","codelet_ztezhmhm",3.08791e+11,402,10,42756562.66,31722514.079602
"bt","codelet_zvxgk4ke",6.10461e+11,1,10,19041468.12,17306792
