"BenchName","CodeletName","tar_app_cycles","tar_vivo_invocations","tar_vitro_invocations","tar_vitro_CPInv","tar_vivo_CPInv"
"NR","balanc_3_dp_sse",NA,204,204,50744366.0294118,50744366.0294118
"NR","elmhes_10_dp_sse",NA,105,105,77176575.6666667,77176575.6666667
"NR","elmhes_11_dp_sse",NA,18,18,579950373.888889,579950373.888889
"NR","four1_2_mp_sse",NA,108,108,91246993.9351852,91246993.9351852
"NR","hqr_12_sp_sse",NA,3514,3514,4590525.59903244,4590525.59903244
"NR","hqr_12_square_sp_sse",NA,1169,1169,7131365.68006843,7131365.68006843
"NR","hqr_13_dp_sse",NA,392,392,26771485.7015306,26771485.7015306
"NR","hqr_15_sp_sse",NA,94878,94878,125812.342113029,125812.342113029
"NR","jacobi_5_sp_sse",NA,3514,3514,4596392.42458737,4596392.42458737
"NR","lop_13_dp_sse",NA,66,66,124148677.348485,124148677.348485
"NR","ludcmp_4_sp_sse",NA,117,117,91914428.2478632,91914428.2478632
"NR","matadd_16_dp_sse",NA,270,270,57126937.6296296,57126937.6296296
"NR","mprove_8_mp_sse",NA,336,336,31025624.702381,31025624.702381
"NR","mprove_9_dp_sse",NA,224,224,67713471.2723214,67713471.2723214
"NR","realft_4_dp_sse",NA,112,112,74166891.7857143,74166891.7857143
"NR","relax2_26_dp_sse",NA,2,2,2778535280,2778535280
"NR","rstrct_29_dp_sse",NA,552,552,28325594.2844203,28325594.2844203
"NR","svbksb_3_sp_sse",NA,1002,1002,9366759.03193613,9366759.03193613
"NR","svdcmp_11_dp_sse",NA,18,18,572788950.277778,572788950.277778
"NR","svdcmp_13_dp_sse",NA,64,64,148014005.46875,148014005.46875
"NR","svdcmp_14_dp_sse",NA,80,80,122468745.8125,122468745.8125
"NR","svdcmp_6_dp_sse",NA,24,24,362832247.291667,362832247.291667
"NR","toeplz_1_dp_sse",NA,90,90,124580017.111111,124580017.111111
"NR","toeplz_2_dp_sse",NA,156,156,97536878.2051282,97536878.2051282
"NR","toeplz_3_dp_sse",NA,160,160,95745471.53125,95745471.53125
"NR","toeplz_4_dp_sse",NA,78,78,106995495.897436,106995495.897436
"NR","tridag_1_bet1_dt0_sse_initbet1",NA,24,24,372923685.625,372923685.625
"NR","tridag_2_dp_sse",NA,78,78,104141923.974359,104141923.974359
