"BenchName","CodeletName","RDTSC.Runtime..s.","call.count","INSTR_RETIRED_ANY","CPU_CLK_UNHALTED_CORE","CPU_CLK_UNHALTED_REF","FP_COMP_OPS_EXE_SSE_FP_PACKED","FP_COMP_OPS_EXE_SSE_FP_SCALAR","FP_COMP_OPS_EXE_SSE_SINGLE_PRECISION","FP_COMP_OPS_EXE_SSE_DOUBLE_PRECISION","Runtime..RDTSC...s.","Runtime.unhalted..s.","Clock..MHz.","CPI","SP.MFlops.s..SP.assumed.","Packed.MUOPS.s","Scalar.MUOPS.s","SP.MUOPS.s","DP.MUOPS.s","UNC_L3_HITS_ANY","UNC_L3_MISS_ANY","UNC_L3_LINES_IN_ANY","UNC_L3_LINES_OUT_ANY","L3.request.rate","L3.miss.rate","L3.miss.ratio","L2_LINES_IN_ANY","L2_LINES_OUT_DEMAND_DIRTY","L3.Load..MBytes.s.","L3.Evict..MBytes.s.","L3.bandwidth..MBytes.s.","L3.data.volume..GBytes.","INST_RETIRED_X87","X87.MFlops.s","L1D_REPL","L1D_M_EVICT","L2.Load..MBytes.s.","L2.Evict..MBytes.s.","L2.bandwidth..MBytes.s.","L2.data.volume..GBytes.","UNC_QMC_NORMAL_READS_ANY","UNC_QMC_WRITES_FULL_ANY","UNC_QHL_REQUESTS_REMOTE_READS","UNC_QHL_REQUESTS_LOCAL_READS","UNC_QHL_REQUESTS_REMOTE_WRITES","Memory.bandwidth..MBytes.s.","Memory.data.volume..GBytes.","Remote.Read.BW..MBytes.s.","Remote.Write.BW..MBytes.s.","Remote.BW..MBytes.s.","DP.MFlops.s","MEM_INST_RETIRED_LOADS","MEM_INST_RETIRED_STORES","Load.to.Store.ratio","DP.MFlops.s..DP.assumed.","Data.cache.misses","Data.cache.miss.rate","BR_INST_RETIRED_ALL_BRANCHES","BR_MISP_RETIRED_ALL_BRANCHES","Branch.rate","Branch.misprediction.rate","Branch.misprediction.ratio","Instructions.per.branch","L2_DATA_RQSTS_DEMAND_ANY","L2_RQSTS_MISS","L2.request.rate","L2.miss.rate","L2.miss.ratio","DTLB_MISSES_ANY","L1.DTLB.miss.rate","Function.name","Address.in.the.binary","Source.file","Source.lines","ID","Can.be.analyzed","Nb.paths","Is.main.unrolled","Unroll.factor","Unroll.confidence.level","Nb.instr.","Nb.uops","Size..bytes.","Nb.used.x86.reg.","Nb.used.MMX.reg.","Nb.used.XMM.reg.","Nb.used.YMM.reg.","Nb.stack.ref.","Pattern","Nb.insn..SS","Nb.insn..SD","Nb.insn..PS.XMM","Nb.insn..PS.YMM","Nb.insn..PD.XMM","Nb.insn..PD.YMM","Ratio.ADD.SUB...MUL","Fit.in.cache","Macro.fusion","Nb.FLOP..add.sub","Nb.FLOP..mul","Nb.FLOP..div","Nb.FLOP..other","Bytes.loaded","Bytes.stored","Arith..intensity..FLOP...ld.st.bytes.","instr..fetch..cycles.","predecode..cycles.","instr..queue..cycles.","decode..cycles.","uop.queue..cycles.","ROB.read..cycles.","Front.end..cycles.","Nb.uops.P0","Nb.uops.P1","Nb.uops.P2","Nb.uops.P3","Nb.uops.P4","Nb.uops.P5","Nb.cycles.P0","Nb.cycles.P1","Nb.cycles.P2","Nb.cycles.P3","Nb.cycles.P4","Nb.cycles.P5","Dispatch..cycles.","RecMII..cycles.","Vec..ratio......all..INT.","Vec..ratio......load..INT.","Vec..ratio......store..INT.","Vec..ratio......add.sub..INT.","Vec..ratio......mul..INT.","Vec..ratio......other..INT.","Vec..ratio......all..FP.","Vec..ratio......load..FP.","Vec..ratio......store..FP.","Vec..ratio......add.sub..FP.","Vec..ratio......mul..FP.","Vec..ratio......other..FP.","Vec..ratio......all","Vec..ratio......load","Vec..ratio......store","Vec..ratio......add.sub","Vec..ratio......mul","Vec..ratio......other","X.L1..Nb.cycles","X.L1..FLOP.cycle","X.L1..IPC","X.L1..Bytes.loaded...cycle","X.L1..Bytes.stored...cycle","X.L1..Bytes.ld.st...cycle","X.L1..Nb.cycles.if.fully.vectorized"
"NR","balanc_3_dp_sse",7.31918,501,5636280000,13593200000,13593200000,1533510000,10,1,1533510000,7.31918,7.30056,1861.93,2.41173,838.1105,209.534,1.36643e-06,1.36643e-07,209.534,397534000,377511000,377511000,377511000,0.0705314,0.0669788,0.949631,369909000,260648000,3234.74,2279.28,5514.02,40.3556,51,6.97637e-06,376501500,375601000,3291.94,3284.05,6575.99,48.1347,377453500,375736000,0,377393500,0,6585.815,48.20415,0,0,0,419.145,1.503e+09,1.503e+09,1,419.069,376500000,0.0667995,375757000,541,0.0666676,9.59854e-08,1.43976e-06,14.9998,689646000,513946000,0.122358,0.0911854,0.745232,7511560,NA,"astex_codelet__3_","ad","/batch1/balanc_3_dp_sse/codelet.f90","5-6",1,"true",1,"true","8","max",15,14,63,3,0,5,0,0,"PS-XMM,PD-XMM,x86",0,0,8,0,4,0,0,3,"true",0,8,0,0,64,64,0.0625,0,0,0,0,4,4,4,4,1,4,4,4,1,4,1,4,4,4,1,4,2,0,0,0,0,0,0,100,100,100,0,100,0,100,100,100,0,100,0,4,2,3.75,16,16,32,0
"NR","elmhes_10_dp_sse",6.28542,304,4332020000,11666800000,11666800000,1826820000,10,1,1826820000,6.28542,6.26598,1861.93,2.69316,1163.205,290.645,1.59098e-06,1.59098e-07,290.645,239662000,457955000,457955000,457955000,0.0553233,0.105714,1.91084,450705000,166950000,4593.69,1701.6,6295.29,39.5299,51,8.11146e-06,459210000,227979000,4679.97,2323.54,7003.5,43.9785,458004500,228177000,0,457952500,0,6993.775,43.9156,0,0,0,580.31,1.824e+09,912003000,2,581.917,459234000,0.106009,228005000,344,0.0526325,7.94087e-08,1.50874e-06,18.9997,872403000,671735000,0.201385,0.155063,0.769983,8076060,NA,"codelet_","140 d0","/batch4/elmhes_10_dp_sse/codelet.f90","6-7",2,"true",1,"true","8.0","max",19,18,98,4,0,5,0,0,"PS-XMM,PD-XMM,x86",0,0,8,0,8,0,1,4,"true",8,8,0,0,128,64,0.0833333333333,0,0,0,0,5,5,5,4,4,8,4,4,2,4,4,8,4,4,2,8,2,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,8,2,2.375,16,8,24,0
"NR","elmhes_11_dp_sse",8.0016,48,2016010000,14851400000,14851400000,0,656061000,1,656061000,8.0016,7.97645,1861.93,7.36676,81.97905,0,81.9793,1.24977e-07,81.9793,290546000,615879000,615879000,615879000,0.14412,0.305495,2.11973,611483000,272225000,4891.23,2177.52,7068.75,56.5573,51,6.37253e-06,577438500,287964000,4619.3,2303.6,6922.9,55.3858,615945500,288274500,0,615880500,0,7232,57.87015,0,0,0,81.9929,576003000,288003000,1.99999,81.9793,577438000,0.286427,144003000,93,0.0714297,4.61308e-08,6.45821e-07,13.9998,1099540000,933375000,0.545404,0.462982,0.84888,14707000,NA,"codelet_","80","/batch4/elmhes_11_dp_sse/codelet.f90","6-7",0,"true",1,"true","1 or NA","max",16,15,65,8,0,5,0,0,"x86,SD",0,10,0,0,0,0,1,3,"true",2,2,0,0,32,16,0.083333333333333,0,0,0,0,4,4,4,3,3,4,2,2,3,3,3,4,2,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,8,4,12,2.3333333333333
"NR","four1_2_mp_sse",6.06833,501,2.4048e+10,11279100000,11279100000,0,7532100000,3008090000,4524030000,6.06833,6.05773,1861.93,0.469023,1241.15,0,1241.12,495.661,745.454,315776000,181478000,181478000,181478000,0.0131311,0.00754649,0.574706,188660000,6681570,1989.69,70.4667,2060.16,12.5019,552,9.09695e-05,188252500,187752000,1985.43,1980.16,3965.59,24.0643,181615500,180855000,0,181565500,0,3822.92,23.1981,0,0,0,1241.12,4509010000,3006010000,1.5,1241.28,188252000,0.00782817,751505000,534,0.0312502,2.22056e-08,7.10574e-07,31.9998,373206000,188670000,0.0155192,0.00784557,0.50554,2963370,NA,"astex_codelet__2_","8b","/batch2/four1_2_mp_sse/codelet.f90","8-16",1,"true",1,"true","1 or NA","max",32,33,150,7,0,10,0,0,"SS,PS-XMM,x86,SD",16,8,2,0,0,0,1.5,1,"true",6,4,0,0,24,16,0.25,11,11,8,8,8,9,11,7.3333333333333,8,6,4,4,7.6666666666667,7.3333333333333,8,6,4,4,7.6666666666667,8,2,0,0,0,0,0,0,7.6923076923077,0,0,0,0,33.333333333333,7.6923076923077,0,0,0,0,33.333333333333,11,0.90909090909091,2.9090909090909,2.1818181818182,1.4545454545455,3.6363636363636,5.5
"NR","hqr_12_sp_sse",5.29787,5511,13207800000,9852680000,9852680000,3117780000,66219400,3.184e+09,13,5.29787,5.29168,1861.93,0.745977,2365.24,589.176,12.5243,601.704,2.45543e-06,881127000,131369000,131369000,131369000,0.0667128,0.00994636,0.149092,842949000,21770,10148.8,0.262102,10149,53.9501,51,9.62808e-06,713923000,99141,8602.76,1.19464,8603.95,45.6975,139313500,65197.5,0,139269500,0,1681.845,8.92025,0,0,0,1191.55,5571760000,73298,76015.1,1186.86,713922000,0.0540532,1497570000,15656600,0.113385,0.00118541,0.0104547,8.81948,1413310000,849737000,0.107006,0.0643362,0.601238,19079000,NA,"astex_codelet__12_","112","/batch2/hqr_12_sp_sse/codelet.f90","12-13",2,"true",1,"true","8","medium",9,8,41,3,0,4,0,0,"x86,PS-XMM",0,0,6,0,0,0,0,3,"true",8,0,0,0,64,0,0.125,0,0,0,0,2,2,2,1,2,4,0,0,3,1,2,4,0,0,3,4,3,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,100,0,100,4,2,2.25,16,0,16,0
"NR","hqr_12_square_sp_sse",5.01433,2505,1.1473e+10,9311900000,9311900000,2848110000,5028700,2853140000,13,5.01433,5.00121,1861.93,0.811635,2272.34,568.523,1.00337,569.526,2.59257e-06,246433000,446782000,446782000,446782000,0.0214794,0.038942,1.813,627830000,41708,8011.5,0.53222,8012.03,40.1838,51,1.01595e-05,627514000,75694,8006.17,0.965746,8007.14,40.1657,448437500,142432.5,0,448395500,0,5729.725,28.7091,0,0,0,1139.23,5010030000,29143,171912,1138.05,627514000,0.0546948,1282570000,5018140,0.11179,0.000437386,0.00391256,8.94531,1018820000,630954000,0.0888015,0.0549946,0.619298,9800020,NA,"astex_codelet__12_","e1","/batch2/hqr_12_square_sp_sse/codelet.f90","12-13",2,"true",1,"true","8","medium",9,8,40,3,0,4,0,0,"x86,PS-XMM",0,0,6,0,0,0,0,3,"true",8,0,0,0,64,0,0.125,0,0,0,0,2,2,2,1,2,4,0,0,3,1,2,4,0,0,3,4,3,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,100,0,100,4,2,2.25,16,0,16,0
"NR","hqr_13_dp_sse",5.16539,780,8775040000,9587990000,9587990000,2367640000,791,1,2367640000,5.16539,5.1495,1861.93,1.09264,1833.365,458.312,0.00015296,1.9362e-07,458.312,14699700,587190000,587190000,587190000,0.00167517,0.0669159,39.9458,579946000,67822,7131.7,0.83402,7132.54,37.1209,51,9.86478e-06,586169000,70814,7262.71,0.877397,7263.59,37.5193,587223000,314314,0,587180500,0,7279.625,37.6024,0,0,0,914.555,4680010000,3187,1468470,916.624,586170000,0.0667997,585009000,816,0.0666673,9.2991e-08,1.39485e-06,14.9999,667410000,587590000,0.0760577,0.0669615,0.880404,9147940,NA,"codelet_","b0","/batch4/hqr_13_dp_sse/codelet.f90","8-9",1,"true",1,"true","8","medium",15,14,72,3,0,6,0,0,"PS-XMM,PD-XMM,x86",0,0,8,0,4,0,0,3,"true",8,0,0,0,128,0,0.0625,0,0,0,0,4,4,4,1,4,8,0,0,5,1,4,8,0,0,5,8,6,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,100,0,100,8,1,1.875,16,0,16,0
"NR","hqr_15_sp_sse",5.982,200400,2612620000,11131400000,11131400000,0,403239000,403239000,13,5.982,5.97839,1861.93,4.26062,67.5052,0,67.5466,67.5466,2.17761e-06,430094000,9176,9094,9094,0.164622,3.51219e-06,2.13349e-05,24301200,13885400,260.864,149.055,409.918,2.44394,51,8.55294e-06,500234500,400917000,5350.91,4288.65,9639.56,57.6728,64069,13760,0,14459.5,0,0.8311485,0.004981055,0,0,0,67.5466,402004000,401203000,1.002,67.3128,500249000,0.191474,201604000,200495,0.0771656,7.6741e-05,0.000994498,12.9591,537870000,15417400,0.205874,0.00590111,0.0286637,402415000,NA,"astex_codelet__15_","4e","/batch3/hqr_15_sp_sse/codelet.f90","5-6",0,"true",1,"true","1 or NA","max",13,12,57,8,0,3,0,0,"x86,SS",6,0,0,0,0,0,0,3,"true",2,0,0,0,8,8,0.125,0,0,0,0,3,3,3,2,4,2,2,2,2,2,4,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,3.25,2,2,4,2.5
"NR","jacobi_5_sp_sse",5.27903,5511,13035400000,9817640000,9817640000,3.106e+09,60264000,3166270000,13,5.27903,5.27281,1861.93,0.753153,2374.7,590.261,11.4582,601.719,2.46979e-06,864082000,143170000,143170000,143170000,0.0662874,0.0109832,0.16569,841817000,21267,10208.3,0.257894,10208.5,53.8776,51,9.70444e-06,713316000,80010,8631.49,0.968173,8632.46,45.6569,148681500,52885.5,0,148638000,0,1805.115,9.51902,0,0,0,1189.8,5566160000,34718,160325,1191.98,713324000,0.0547221,1496110000,15741000,0.114773,0.00120756,0.0105213,8.71285,1404800000,848510000,0.107768,0.0650928,0.604007,19184000,NA,"astex_codelet__5_","ea","/batch3/jacobi_5_sp_sse/codelet.f90","9-10",2,"true",1,"true","8","medium",9,8,41,3,0,4,0,0,"x86,PS-XMM",0,0,6,0,0,0,0,3,"true",8,0,0,0,64,0,0.125,0,0,0,0,2,2,2,1,2,4,0,0,3,1,2,4,0,0,3,4,3,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,100,0,100,4,2,2.25,16,0,16,0
"NR","lop_13_dp_sse",5.07095,336,12291400000,9413230000,9413230000,5729160000,32246100,1,5761400000,5.07095,5.05574,1861.92,0.765841,4526.465,1129.08,6.35454,1.97076e-07,1135.44,225801000,337369000,337369000,337369000,0.0183707,0.0274477,1.4941,335297000,36894500,4240.3,466.583,4706.88,23.8203,51,1.00359e-05,673280000,167863000,8510.42,2121.84,10632.3,53.8331,337395500,167945500,0,337379000,0,6390.9,32.34185,0,0,0,2263.28,5705620000,672676000,8.48198,2268.31,673281000,0.0547768,175891000,676585,0.0143101,5.50456e-05,0.00384662,69.8806,1108990000,387994000,0.0902248,0.0315664,0.349864,5325100,NA,"astex_codelet__13_","2c5 182","/batch2/lop_13_dp_sse/codelet.f90","5-8",3,"true",1,"true","8.0","high",60,59,318,6,0,14,0,0,"PS-XMM,PD-XMM,x86",0,0,25,0,32,0,1.66666666667,1,"true",40,24,0,0,336,64,0.16,21,21,15,15,15,18,21,12,20,21,4,4,2,12,20,21,4,4,2,21,2,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,21,3.04761904762,2.85714285714,16,3.04761904762,19.0476190476,0
