CodeletName,Bottleneck,L1 bound per SV-Node,Algorithm,Reduction/Recurrences,Array Access: Stride,Vectorization,Course,size
balanc_3_dp_sse,Dispatch,Both,DP: Vector multiply element wise,No,1,V,1D Loops / 2D Arrays,normal
elmhes_10_dp_sse,Dispatch,LS,DP: Linear combination of matrix columns,No,1,V,1D Loops / 2D Arrays,normal
elmhes_11_dp_sse,Dispatch,LS,DP: Linear combination of matrix rows,No, LDA,S,1D Loops / 2D Arrays,normal
four1_2_mp_sse,Dispatch,FP,MP: First step FFT,No,4,S,2D Loops / 1D Arrays,normal
hqr_12_sp_sse,Dispatch,FP,SP: Sum of the lower half of a square matrix,Yes,0 & 1,V,2D Triangular/ 2D Arrays,normal
hqr_12_square_sp_sse,Dispatch,FP,SP: Sum of a square matrix,Yes,0 & 1,V,2D Loops/ 2D Arrays,normal
hqr_13_dp_sse,Data Dependencies,FP,DP: Sum of the absolute values of a matrix column,Yes,0 & 1,V,1D Loops / 2D Arrays,normal
hqr_15_sp_sse,Dispatch,FP,SP: Addition on the diagonal elements of a matrix,No,LDA + 1,S,1D Loops / 2D Arrays,normal
jacobi_5_sp_sse,Dispatch,FP,SP: Sum of the upper half of a square matrix,Yes,0 & 1,V,2D Triangular/ 2D Arrays,normal
lop_13_dp_sse,Dispatch,FP,DP: Laplacian finite difference constant coefficients,No,stencil,V,2D Loops / 2D Arrays,normal
ludcmp_4_sp_sse,Dispatch,LS,SP: Dot product over lower half square matrix,Yes,0 & LDA & 1,V + S,2D Triangular/ 2D Arrays,normal
matadd_16_dp_sse,Dispatch,LS,DP: Sum of two square matrices element wise,No,1,V,2D Loops / 2D Arrays,normal
mprove_8_mp_sse,Dispatch,FP,MP: Dense Matrix x vector product,Yes,0 & 1,V + S,2D Loops / 1D and 2D Arrays,normal
mprove_9_dp_sse,Dispatch,LS,DP: Substracting a vector with a vector,No,1,V,1D Loops / 1D Arrays,normal
realft_4_dp_sse,Dispatch,FP,DP: FFT butterfly computation,No, 0 & 2 & -2,S,1D Loops / 1D Arrays,normal
relax2_26_dp_sse,Div/Sqrt,FP,DP: Red Black Sweeps Laplacian operator,No,LDA & 0,S,3D Loops/ 2D Arrays,normal
rstrct_29_dp_sse,Dispatch,FP,DP: MG Laplacian fine to coarse mesh transition,No,stencil,V + S,2D Loops / 2D Arrays,normal
svbksb_3_sp_sse,Data Dependencies,FP,SP: Dense Matrix x vector product,Yes,0 & 1,V,2D Loops / 1D and 2D Arrays,normal
