"BenchName","CodeletName","CPI_mismatch","ref_app_cycles","ref_vivo_invocations","ref_vivo_CPInv"
"ft","codelet_04wki9m9",0.417516292319181,1.4599e+11,20,585213912.2
"sp","codelet_0612t675",17.5454011237925,4.03021e+11,402,38511719.6716418
"bt","codelet_1q1uztgi",8.91788686415738,7.02073e+11,201,1075709010.28856
"sp","codelet_2v56b796",20.0104052822754,4.03021e+11,401,26649792.798005
"mg","codelet_2xepi1y9",99.9951332523742,17295500000,168,25189570.952381
"cg","codelet_3lkaf7j3",9.98271453880965,2.47588e+11,76,3282155229.78947
"lu","codelet_5g6luxej",0.963825573254882,5.55569e+11,3,18935473.3333333
"cg","codelet_77bv9i9o",9.90895443667295,2.47588e+11,76,130620424.368421
"sp","codelet_7hw4mhgq",24.3294488355464,4.03021e+11,2,31744916
"lu","codelet_7ztudex2",31.315584243472,5.55569e+11,1,34742164
"mg","codelet_9guj5g8w",21.5342034722683,17295500000,2,61445414
"bt","codelet_9salavfj",2.48420098200524,7.02073e+11,201,1100090608.0199
"lu","codelet_a5i9q5oc",0.0298716580974378,5.55569e+11,25000,3666223.4896
"cg","codelet_ah8c616d",31.0399664372781,2.47588e+11,1,26743500
"ft","codelet_ajh8suhy",82.8845932138452,1.4599e+11,270336,421685.447310014
"sp","codelet_alcg4uf1",40.8707083145611,4.03021e+11,1,39739632
"lu","codelet_bdcevv5m",0.906261854199532,5.55569e+11,25000,3633700.30992
"ft","codelet_bfvnd0aj",26.3840429728592,1.4599e+11,1,1120243308
"sp","codelet_ciposq9y",4.60686851905339,4.03021e+11,402,87599172.1293532
"is","codelet_cwibzte7",0.903286433641597,21734600000,1,10334514628
"sp","codelet_e3rjjpkq",2.50445805572317,4.03021e+11,402,81472471.681592
"mg","codelet_e77x2p6t",100,17295500000,147,13134093.1156463
"mg","codelet_eh02x069",21.1592662171795,17295500000,4,53162068
"sp","codelet_el0upqbv",22.7750725400131,4.03021e+11,402,18042287.5522388
"lu","codelet_f5scgu90",8.49833012606063,5.55569e+11,1,78380120
"bt","codelet_f5wo0uxw",43.909908315323,7.02073e+11,1,36661984
"cg","codelet_ffhehgar",15.425365276414,2.47588e+11,1,55323500
"lu","codelet_gowmx4sy",4.76574857597082,5.55569e+11,25000,3805686.72112
"lu","codelet_id2f9qxy",3.9139432213509,5.55569e+11,251,175386142.820717
"lu","codelet_id4su9eh",6.19719590993463,5.55569e+11,1,201506100
"mg","codelet_j5k2371m",73.50935579712,17295500000,170,48112917.7647059
"bt","codelet_jbbvz7xk",1.42323044079184,7.02073e+11,202,83371177.1881188
"mg","codelet_jhez9gww",53.9635944452192,17295500000,2,62326600
"bt","codelet_jxc4wc0u",5.15863331542703,7.02073e+11,1,19382752
"bt","codelet_k2brr96z",5.19596281157786,7.02073e+11,202,81614733.1089109
"sp","codelet_k2ftuhal",7.6865345733156,4.03021e+11,401,190212889.466334
"sp","codelet_l044uhir",17.2523486890707,4.03021e+11,401,19744816.5486284
"sp","codelet_lwazhy7r",2.0297120297457,4.03021e+11,402,32912952.9950249
"is","codelet_lwgg2vdo",0.107322622001612,21734600000,11,564300804.727273
"sp","codelet_n3f9ckan",11.8083967274823,4.03021e+11,401,32459694.1546135
"bt","codelet_n94ixut8",4.85528059495559,7.02073e+11,202,87260034.9108911
"sp","codelet_n9k4kgux",16.8549853973559,4.03021e+11,401,19629351.0224439
"bt","codelet_npabl6hq",8.61673834212566,7.02073e+11,202,18518980.8316832
"sp","codelet_nrpad2bf",21.8630084000733,4.03021e+11,402,73269237.800995
"lu","codelet_nzbfxce7",0.20576106103796,5.55569e+11,251,116229607.665339
"sp","codelet_o8g6pwm1",17.7376772336946,4.03021e+11,401,37091680.319202
"sp","codelet_ocwkgsmf",19.7570768008578,4.03021e+11,1,18820096
"bt","codelet_oo8c273h",31.0673483675308,7.02073e+11,2,29570248
"lu","codelet_p6nf3vla",3.3916535751082,5.55569e+11,1,139745332
"sp","codelet_p8woixip",6.65281985632649,4.03021e+11,401,145301456.917706
"lu","codelet_pixsirbt",9.65294377721246,5.55569e+11,25000,3871106.07104
"cg","codelet_psux6bds",12.256019949664,2.47588e+11,1,522925380
"is","codelet_qbx4gern",56.7331592502134,21734600000,1,39904528
"bt","codelet_rbjjtmtw",4.78395259250877,7.02073e+11,201,26630425.2537313
"bt","codelet_salgyh4a",4.88395425539457,7.02073e+11,202,35852869.7425743
"lu","codelet_syvfdqbb",2.75141635691646,5.55569e+11,1,186452060
"sp","codelet_tw2jfd61",9.35810268024603,4.03021e+11,401,111958211.431421
"sp","codelet_un3n5c0a",1.29722535296056,4.03021e+11,1,19124056
"is","codelet_v392t8ky",11.379888630451,21734600000,1,137257728
"lu","codelet_vdku9m9a",2.72123267462175,5.55569e+11,251,195588461.163347
"bt","codelet_vp8kou9q",8.64221385366024,7.02073e+11,202,31539815.2277228
"bt","codelet_y3z9unfb",2.87783181958188,7.02073e+11,202,33984556.8316832
"lu","codelet_yl02rn5o",17.789022601246,5.55569e+11,251,46281044.1434263
"is","codelet_zds65i92",0.301775010857298,21734600000,1,5073152540
"bt","codelet_zdssy5el",10.889457418366,7.02073e+11,201,1028743000.67662
"sp","codelet_ztezhmhm",8.9442850678345,4.03021e+11,402,35575488.5870647
"bt","codelet_zvxgk4ke",0.801245945648403,7.02073e+11,1,18879196
