"BenchName","CodeletName","CPI_mismatch","ref_app_cycles","ref_vivo_invocations","ref_vivo_CPInv"
"NR","balanc_3_dp_sse",0,NA,501,27132135.7285429
"NR","elmhes_10_dp_sse",0,NA,304,38377631.5789474
"NR","elmhes_11_dp_sse",0,NA,48,309404166.666667
"NR","four1_2_mp_sse",0,NA,501,22513173.6526946
"NR","hqr_12_sp_sse",0,NA,5511,1787820.72219198
"NR","hqr_12_square_sp_sse",0,NA,2505,3717325.3493014
"NR","hqr_13_dp_sse",0,NA,780,12292294.8717949
"NR","hqr_15_sp_sse",0,NA,200400,55545.9081836327
"NR","jacobi_5_sp_sse",0,NA,5511,1781462.52948648
"NR","lop_13_dp_sse",0,NA,336,28015565.4761905
"NR","ludcmp_4_sp_sse",0,NA,202,46884059.4059406
"NR","matadd_16_dp_sse",0,NA,315,34371428.5714286
"NR","mprove_8_mp_sse",0,NA,2004,5468463.0738523
"NR","mprove_9_dp_sse",0,NA,288,38459027.7777778
"NR","realft_4_dp_sse",0,NA,288,35400000
"NR","relax2_26_dp_sse",0,NA,24,379319166.666667
"NR","rstrct_29_dp_sse",0,NA,2268,8104276.89594356
"NR","svbksb_3_sp_sse",0,NA,2505,3736582.83433134
"NR","svdcmp_11_dp_sse",0,NA,64,215881250
"NR","svdcmp_13_dp_sse",0,NA,460,28230869.5652174
"NR","svdcmp_14_dp_sse",0,NA,336,38794345.2380952
"NR","svdcmp_6_dp_sse",0,NA,90,123905555.555556
"NR","toeplz_1_dp_sse",0,NA,384,34327083.3333333
"NR","toeplz_2_dp_sse",0,NA,288,39727430.5555556
"NR","toeplz_3_dp_sse",0,NA,504,33423412.6984127
"NR","toeplz_4_dp_sse",0,NA,189,53489417.989418
"NR","tridag_1_bet1_dt0_sse_initbet1",0,NA,132,135156818.181818
"NR","tridag_2_dp_sse",0,NA,189,51414074.0740741
