"BenchName","CodeletName","tar_app_cycles","tar_vivo_invocations","tar_vitro_invocations","tar_vitro_CPInv","tar_vivo_CPInv"
"NR","balanc_3_dp_sse",NA,1004,1004,17380957.3426295,17380957.3426295
"NR","elmhes_10_dp_sse",NA,832,832,26246469.7860577,26246469.7860577
"NR","elmhes_11_dp_sse",NA,64,64,246349270.1875,246349270.1875
"NR","four1_2_mp_sse",NA,1004,1004,21110454.0577689,21110454.0577689
"NR","hqr_12_sp_sse",NA,10020,10020,2032600.3762475,2032600.3762475
"NR","hqr_12_square_sp_sse",NA,5010,5010,3497208.73812375,3497208.73812375
"NR","hqr_13_dp_sse",NA,3024,3024,10414205.4133598,10414205.4133598
"NR","hqr_15_sp_sse",NA,502000,502000,55673.4873625498,55673.4873625498
"NR","jacobi_5_sp_sse",NA,10020,10020,2022163.7493014,2022163.7493014
"NR","lop_13_dp_sse",NA,1004,1004,19739292.1175299,19739292.1175299
"NR","ludcmp_4_sp_sse",NA,501,501,48853595.241517,48853595.241517
"NR","matadd_16_dp_sse",NA,835,835,23522498.5077844,23522498.5077844
"NR","mprove_8_mp_sse",NA,5020,5020,5410899.88406374,5410899.88406374
"NR","mprove_9_dp_sse",NA,668,668,26351357.5598802,26351357.5598802
"NR","realft_4_dp_sse",NA,630,630,26899590.752381,26899590.752381
"NR","relax2_26_dp_sse",NA,72,72,434721635.055556,434721635.055556
"NR","rstrct_29_dp_sse",NA,2761,2761,6260485.20318725,6260485.20318725
"NR","svbksb_3_sp_sse",NA,5010,5010,3518145.42355289,3518145.42355289
"NR","svdcmp_11_dp_sse",NA,128,128,207170648,207170648
"NR","svdcmp_13_dp_sse",NA,840,840,32293861.8571429,32293861.8571429
"NR","svdcmp_14_dp_sse",NA,924,924,31015221.6515152,31015221.6515152
"NR","svdcmp_6_dp_sse",NA,204,204,134482605.911765,134482605.911765
"NR","toeplz_1_dp_sse",NA,1020,1020,29712264.3627451,29712264.3627451
"NR","toeplz_2_dp_sse",NA,630,630,27609289.8920635,27609289.8920635
"NR","toeplz_3_dp_sse",NA,1152,1152,27095779.7135417,27095779.7135417
"NR","toeplz_4_dp_sse",NA,504,504,35846106.1507936,35846106.1507936
"NR","tridag_1_bet1_dt0_sse_initbet1",NA,117,117,174768394.666667,174768394.666667
"NR","tridag_2_dp_sse",NA,378,378,51134840.3756614,51134840.3756614
