"n","minimum","maximum","average","median","architecture"
1,0.377320009989344,0.377320009989344,0.377320009989344,0.377320009989344,"Atom"
2,0.237043485568224,0.499426289970128,0.373824892049884,0.374745133459586,"Atom"
3,0.231368375180283,0.497194648144918,0.366181248063133,0.371138046295048,"Atom"
4,0.219826367159068,0.450562862917012,0.362168910231681,0.371138046295048,"Atom"
5,0.208841324436166,0.456866547980611,0.354818181065532,0.361792471526609,"Atom"
6,0.208841324436166,0.464816224434145,0.351219259370262,0.356494809893077,"Atom"
7,0.189098606071394,0.461857114452842,0.345305884458584,0.351934649889851,"Atom"
8,0.189098606071394,0.461857114452842,0.338576002474687,0.339455786068834,"Atom"
9,0.174656148976757,0.443587199996939,0.33102694324344,0.336481898240661,"Atom"
10,0.168659124735254,0.47000089833338,0.325295053408005,0.328264816760636,"Atom"
11,0.163032722880999,0.433545010068069,0.32045446904898,0.325031786407582,"Atom"
12,0.143267282646043,0.427531603700966,0.311948734947272,0.317030168912366,"Atom"
13,0.140775758858469,0.443587199996939,0.30761347890294,0.311600554720233,"Atom"
14,0.151869476905799,0.455254311835356,0.299910210365693,0.302678099553424,"Atom"
15,0.152155414048693,0.43198247117001,0.294597276568988,0.296893880936981,"Atom"
16,0.126136683148879,0.431668400292586,0.288344293562555,0.294037811867791,"Atom"
17,0.119749906609915,0.441874808886804,0.283833791999717,0.283121159666612,"Atom"
18,0.116789240331177,0.436166628872835,0.277897273516252,0.277928934837537,"Atom"
19,0.103010076069378,0.447386737067685,0.269384259416492,0.271872178062824,"Atom"
20,0.102616904017225,0.441874808886804,0.264519629017436,0.262912332724867,"Atom"
21,0.0879037065804314,0.438102255299291,0.255024535899343,0.253332632781535,"Atom"
22,0.097607379324422,0.41858773850704,0.250510668710123,0.244552305920909,"Atom"
23,0.0988017561411558,0.403889955265721,0.24210790235133,0.237720906113216,"Atom"
24,0.0922225832319418,0.461037362601918,0.237219249305757,0.237511784329314,"Atom"
1,0.314144451751257,0.314144451751257,0.314144451751257,0.314144451751257,"Core 2"
2,0.137893335880686,0.416518825268489,0.280912265618579,0.293204241261089,"Core 2"
3,0.128913138442966,0.412066746483268,0.2713781517121,0.26869196199559,"Core 2"
4,0.136221150193072,0.429485422148182,0.269354479414219,0.264261234885272,"Core 2"
5,0.140086612913026,0.410138072770065,0.263577595256364,0.258173469772609,"Core 2"
6,0.132667991643122,0.423522141408352,0.254463024496945,0.253138907067707,"Core 2"
7,0.138920121731027,0.413438753271064,0.249210542439997,0.247255649715667,"Core 2"
8,0.12841405822371,0.407769928820252,0.243932989227791,0.243750068748563,"Core 2"
9,0.127244731857387,0.379498176508619,0.238831360778219,0.238090340702063,"Core 2"
10,0.121317098774586,0.393616989604848,0.228450672722152,0.22496671856259,"Core 2"
11,0.1287802053756,0.393394048975078,0.228181809525615,0.226226725975705,"Core 2"
12,0.110773879026272,0.398704259727499,0.22132561294726,0.215753087291886,"Core 2"
13,0.106402129228573,0.384592624543908,0.21799346577606,0.213223412879408,"Core 2"
14,0.0920359647606982,0.401419364026066,0.215847500005856,0.213724531561651,"Core 2"
15,0.104199410623424,0.357980522677108,0.208531094236163,0.205615390815602,"Core 2"
16,0.0808945036329282,0.372224172797518,0.206707109829044,0.206680563174182,"Core 2"
17,0.104298886605915,0.33964098890215,0.198784980871826,0.195807331680914,"Core 2"
18,0.0912257443500408,0.345053680839013,0.196525275527109,0.193753156639626,"Core 2"
19,0.0764800273041835,0.345053680839013,0.191953652240398,0.188895463271509,"Core 2"
20,0.09471991330598,0.31385279003712,0.187909396561343,0.188872649607248,"Core 2"
21,0.0733876095317788,0.342346250836117,0.182164798531116,0.18676281245606,"Core 2"
22,0.0810803962833212,0.342346250836117,0.180617171473053,0.183749019117886,"Core 2"
23,0.0622481914488936,0.288708527741801,0.17412121987637,0.178015993974329,"Core 2"
24,0.0680840383037933,0.290339684435281,0.170312567787088,0.176260668934798,"Core 2"
1,0.0951624700369335,0.0951624700369335,0.0951624700369335,0.0951624700369335,"Sandy Bridge"
2,0.0536901066446637,0.451130604146617,0.157214071948606,0.115721768342281,"Sandy Bridge"
3,0.0593400124811718,0.451130604146617,0.140969296482169,0.115903256713376,"Sandy Bridge"
4,0.0547550048731988,0.373430390758584,0.12449597444795,0.11640533082795,"Sandy Bridge"
5,0.0547515797889149,0.236442181471471,0.118245600083503,0.115166486664269,"Sandy Bridge"
6,0.0590137439011555,0.211307665922497,0.113215236448668,0.111748854319483,"Sandy Bridge"
7,0.0599535875183234,0.226323751468008,0.110065360498359,0.110546583909758,"Sandy Bridge"
8,0.061490479178584,0.177413510171284,0.106507931503498,0.10445359316992,"Sandy Bridge"
9,0.0557717759073712,0.172841780772254,0.105145786515283,0.10445359316992,"Sandy Bridge"
10,0.0587946657933112,0.167127629081669,0.10292309780289,0.101736047697149,"Sandy Bridge"
11,0.0573917215319396,0.166634837314059,0.10202266621687,0.101025284036948,"Sandy Bridge"
12,0.0563377346824954,0.169234939322025,0.100996854021131,0.10040873637742,"Sandy Bridge"
13,0.061829444003289,0.163308514091129,0.0997576438778635,0.0984948318373569,"Sandy Bridge"
14,0.0607057551416356,0.16043068286155,0.0989136804717432,0.098712374758962,"Sandy Bridge"
15,0.0585475094444991,0.149349701657616,0.0978368488980417,0.0958681081466317,"Sandy Bridge"
16,0.0576818702711663,0.146622981611545,0.096871550484595,0.0955700489268669,"Sandy Bridge"
17,0.0614637694169834,0.157610124872543,0.09674524085188,0.0936164587233018,"Sandy Bridge"
18,0.0524264674555959,0.158658392661535,0.0954820715674611,0.0928986502752567,"Sandy Bridge"
19,0.0500761095347945,0.157610124872543,0.0957318442642389,0.0930762709346319,"Sandy Bridge"
20,0.0581114366983641,0.150142966625674,0.0956459564622971,0.0933844267346079,"Sandy Bridge"
21,0.0587946657933112,0.159045717747323,0.0954060161739034,0.0910999146214993,"Sandy Bridge"
22,0.0549190246502668,0.137061120869195,0.0949485544718814,0.0910999146214993,"Sandy Bridge"
23,0.0600778102349004,0.145862856403816,0.0952225429113666,0.0910999146214993,"Sandy Bridge"
24,0.0600778102349004,0.145159455310022,0.0939009282403944,0.0910999146214993,"Sandy Bridge"
